name,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal
runtime,4.7171854972839355,4.4291369915008545,4.14210319519043,3.9313321113586426,3.7878310680389404,3.538177251815796,3.4522454738616943,3.2080845832824707,3.07430100440979,2.854504108428955
l2miss,12550717.283950618,13523229.47368421,14511885.79710145,15472889.393939395,16670875.806451611,17652384.827586208,17952280.727272727,19414211.538461536,20597878.36734694,22132909.545454547
l3miss,2982003.703703704,3189031.5789473685,3563539.7101449273,3632530.9090909087,3863507.0967741935,4153863.103448276,4468700.0,4584366.923076923,4829666.530612245,5328541.818181817
instructions,800551855.8024691,865261347.6315789,918155216.8115942,970495247.2727274,1002175188.0645162,1090427192.7586207,1105994126.909091,1225832841.153846,1264288877.9591837,1371898745.4545453
cycles,1161076190.1234567,1262707551.0526316,1362332336.231884,1450676912.7272727,1540587404.516129,1650402456.2068965,1743232587.2727273,1865112440.3846154,1959606073.877551,2035918063.6363637
stall_cycles,676791182.7160494,740604658.6842105,805415905.2173913,863926090.0,927839274.8387097,989572032.4137931,1060869069.8181819,1123087931.9230769,1192520283.6734695,1209038399.090909
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.7407407407407407,0.0,0.0,0.9090909090909092,0.967741935483871,0.3448275862068966,0.36363636363636365,0.38461538461538464,1.6326530612244896,1.8181818181818183
wall_cycles,2144463416.2962964,2152547600.5263157,2151770333.3333335,2146175058.4848485,2163500604.193548,2174109580.6896553,2188004982.5454545,2180849979.230769,2175946635.9183674,2175234461.363636
llc_size,36410507.061728396,36493204.21052632,34943985.15942029,36347655.75757576,35468717.41935484,36113725.79310345,35774315.054545455,37695803.07692308,35612797.3877551,35726056.72727273
local_mem,156428768.39506173,155820463.15789473,185286418.55072466,189240164.84848484,207368588.3870968,216426990.3448276,245771915.63636363,245835618.4615385,258506083.26530612,268638021.8181818
remote_mem,1456355.5555555555,1500429.4736842103,1690638.84057971,1946220.606060606,4587520.0,1672297.931034483,2240139.6363636362,2016492.3076923077,2166700.4081632653,2204392.7272727275
